step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
303,121468,1212,0.024475612912255366,0.5,0.5,,,,,
304,121856,1216,0.036339593663268534,0.25,0.25,,,,,
305,122372,1220,0.024544391909355756,0.75,0.75,0.027345022659341203,0.75,0.75,,
306,122760,1224,0.02570235097803031,0.25,0.25,,,,,
307,123148,1228,0.025413308261070994,0.75,0.75,,,,,
308,123536,1232,0.027306071206509158,0.5,0.5,,,,,
309,123956,1236,0.021508542686604327,0.75,0.75,,,,,
310,124408,1240,0.026346397049489954,0.5,0.5,,,,,
311,124828,1244,0.031025768629536266,0.5,0.5,,,,,
312,125248,1248,0.022602871279323852,0.5,0.5,,,,,
313,125604,1252,0.01957286762405354,1.0,1.0,0.031948159359154904,0.5,0.5,,
314,125960,1256,0.02800064259013182,0.5,0.5,,,,,
315,126380,1260,0.03849829702180719,0.0,0.0,,,,,
316,126768,1264,0.035772721447406654,0.0,0.0,,,,,
317,127092,1268,0.021387943747271206,1.0,1.0,,,,,
318,127544,1272,0.03353460895721956,0.25,0.25,,,,,
319,127932,1276,0.036020457396482,0.25,0.25,,,,,
320,128352,1280,0.027930273513670115,0.5,0.5,,,,,
321,128740,1284,0.03624325993052366,0.25,0.25,0.030891684148704936,0.5,0.5,,
322,129128,1288,0.02742048948598722,0.25,0.25,,,,,
323,129484,1292,0.03633187377628453,0.25,0.25,,,,,
324,129936,1296,0.029260652461103487,0.25,0.25,,,,,
325,130324,1300,0.030701444397644006,0.25,0.25,,,,,
326,130680,1304,0.03929505135155658,0.0,0.0,,,,,
327,131068,1308,0.03176836060297091,0.25,0.25,,,,,
328,131552,1312,0.029117206641598614,0.25,0.25,,,,,
329,132004,1316,0.03321054744921307,0.25,0.25,0.033276678037459456,0.0,0.0,,
330,132328,1320,0.031123424464911294,0.25,0.25,,,,,
331,132748,1324,0.023836100284723376,0.5,0.5,,,,,
332,133168,1328,0.02505960611132668,0.75,0.75,,,,,
333,133620,1332,0.03408632489179192,0.25,0.25,,,,,
334,134104,1336,0.03640159896653021,0.0,0.0,,,,,
335,134428,1340,0.02725889428823916,0.75,0.75,,,,,
336,134880,1344,0.033850226228978826,0.25,0.25,,,,,
337,135300,1348,0.0279180555960531,0.0,0.0,0.03500351097960197,0.0,0.0,,
338,135720,1352,0.02661481679985295,0.25,0.25,,,,,
339,136108,1356,0.02936761370302098,0.75,0.75,,,,,
340,136496,1360,0.0361877630671095,0.25,0.25,,,,,
341,136916,1364,0.03223701356501456,0.5,0.5,,,,,
342,137400,1368,0.0280634296963547,0.5,0.5,,,,,
343,137852,1372,0.02228324950998042,0.75,0.75,,,,,
344,138208,1376,0.028289833954018337,0.5,0.5,,,,,
345,138628,1380,0.033291661078938335,0.0,0.0,0.029725152437732223,0.5,0.5,,
346,139016,1384,0.02607448384485224,0.5,0.5,,,,,
347,139404,1388,0.030266455822470183,0.25,0.25,,,,,
348,139696,1392,0.041064905571523765,0.5,0.5,,,,,
349,140084,1396,0.026397706238119555,0.5,0.5,,,,,
350,140536,1400,0.03156159975418642,0.0,0.0,,,,,
351,140988,1404,0.024461047502127093,0.25,0.25,,,,,
352,141376,1408,0.025190050005627584,0.5,0.5,,,,,
353,141764,1412,0.040793983605985885,0.25,0.25,0.035098694527934335,0.25,0.25,,
354,142216,1416,0.029581266028639808,0.5,0.5,,,,,
355,142604,1420,0.028268759831424527,0.5,0.5,,,,,
356,143152,1424,0.021681282870549424,0.5,0.5,,,,,
357,143476,1428,0.02764117835282377,0.25,0.25,,,,,
358,143864,1432,0.028074697165344942,0.5,0.5,,,,,
359,144220,1436,0.03292051668404621,0.25,0.25,,,,,
360,144640,1440,0.02906672415872138,0.5,0.5,,,,,
361,145028,1444,0.030680210262149264,0.25,0.25,0.03178436990344494,0.25,0.25,,
362,145448,1448,0.024809637506252955,0.75,0.75,,,,,
363,145836,1452,0.029422280610281844,0.25,0.25,,,,,
364,146288,1456,0.029297196579664602,0.5,0.5,,,,,
365,146676,1460,0.028821331803527788,0.5,0.5,,,,,
366,147096,1464,0.028455438536785258,0.5,0.5,,,,,
367,147548,1468,0.031487816838076964,0.0,0.0,,,,,
368,147808,1472,0.030564832671267653,0.75,0.75,,,,,
369,148228,1476,0.02665431263226616,0.5,0.5,0.02988165561095433,0.5,0.5,,
370,148776,1480,0.020503822896119156,0.75,0.75,,,,,
371,149164,1484,0.029286523543571075,0.25,0.25,,,,,
372,149552,1488,0.029772294177479355,0.5,0.5,,,,,
373,150068,1492,0.02551311199500418,0.25,0.25,,,,,
374,150488,1496,0.029870920081659036,0.25,0.25,,,,,
375,150844,1500,0.03570286174073916,0.25,0.25,,,,,
376,151104,1504,0.041598065289033745,0.25,0.25,,,,,
377,151524,1508,0.030632055372388133,0.5,0.5,0.026229045006690228,0.75,0.75,,
378,151976,1512,0.027815792299401045,0.0,0.0,,,,,
379,152300,1516,0.024624957500864582,1.0,1.0,,,,,
380,152752,1520,0.026978468115981157,0.5,0.5,,,,,
381,153172,1524,0.02642463871351704,0.5,0.5,,,,,
382,153592,1528,0.032474295563169844,0.5,0.5,,,,,
383,153980,1532,0.023391395749204735,0.5,0.5,,,,,
384,154400,1536,0.02985097257168814,0.25,0.25,,,,,
385,154820,1540,0.029443833174703,0.25,0.25,0.0262111006940289,0.25,0.25,,
386,155240,1544,0.0315184833098262,0.25,0.25,,,,,
387,155756,1548,0.030239943411273486,0.5,0.5,,,,,
388,156176,1552,0.03035604708718298,0.5,0.5,,,,,
389,156404,1556,0.03210266073738694,0.75,0.75,,,,,
390,156856,1560,0.018268496080098496,1.0,1.0,,,,,
391,157276,1564,0.027040412234327085,0.5,0.5,,,,,
392,157696,1568,0.024360250477246312,0.5,0.5,,,,,
393,158116,1572,0.021060049832557385,0.75,0.75,0.04336486606271347,0.0,0.0,,
394,158536,1576,0.03986357962284986,0.0,0.0,,,,,
395,158924,1580,0.0301600916886841,0.25,0.25,,,,,
